id,time,value,event
chan_7,0,0.034343841273038134,0.0
chan_7,1,0.0,0.0
chan_7,2,0.0024171618491286573,0.0
chan_7,3,0.023668043106052306,0.0
chan_7,4,0.02971094772887506,0.0
chan_7,5,0.048796454829288294,0.0
chan_7,6,0.07226306778124725,0.0
chan_7,7,0.03514956188941465,0.0
chan_7,8,0.035904924967267604,0.0
chan_7,9,0.061990129922449455,0.0
chan_7,10,0.06828482223788823,0.0
chan_7,11,0.08762211703091927,0.0
chan_7,12,0.11134051767549602,0.0
chan_7,13,0.07085305670258846,0.0
chan_7,14,0.0626951354617784,0.0
chan_7,15,0.076996676402457,0.0
chan_7,16,0.08268707825561483,0.0
chan_7,17,0.09472252996273545,0.0
chan_7,18,0.11496626044918923,0.0
chan_7,19,0.13596535401349596,0.0
chan_7,20,0.14220968879041163,0.0
chan_7,21,0.09381609426931181,0.0
chan_7,22,0.10187330043307474,0.0
chan_7,23,0.10751334474770902,0.0
chan_7,24,0.10892335582636736,0.0
chan_7,25,0.12000201430154123,0.0
chan_7,26,0.14074932017322972,0.0
chan_7,27,0.13123174539228533,0.0
chan_7,28,0.1198509416859701,0.0
chan_7,29,0.14961224695336872,0.0
chan_7,30,0.172927787289757,0.0
chan_7,31,0.20037264578507363,0.0
chan_7,32,0.23783865444657026,0.0
chan_7,33,0.27872897572766675,0.0
chan_7,34,0.2558666532379896,0.0
chan_7,35,0.23184610736227151,0.0
chan_7,36,0.23955081075636997,0.0
chan_7,37,0.23436398428844774,0.0
chan_7,38,0.24463692214724553,0.0
chan_7,39,0.2613556249370528,0.0
chan_7,40,0.27842683049652495,0.0
chan_7,41,0.25818310001007116,0.0
chan_7,42,0.21517776211098738,0.0
chan_7,43,0.21608419780441102,0.0
chan_7,44,0.22137173934937993,0.0
chan_7,45,0.2212710242723337,0.0
chan_7,46,0.23315540336388363,0.0
chan_7,47,0.25662201631584214,0.0
chan_7,48,0.2839661597341121,0.0
chan_7,49,0.218400644576493,0.0
chan_7,50,0.21331453318561744,0.0
chan_7,51,0.22796857689596095,0.0
chan_7,52,0.22388961627555615,0.0
chan_7,53,0.23300433074831295,0.0
chan_7,54,0.2520394803102026,0.0
chan_7,55,0.2770168194178666,0.0
chan_7,56,0.2476080169201329,0.0
chan_7,57,0.2119548796454831,0.0
chan_7,58,0.22580320273944965,0.0
chan_7,59,0.23365897874911834,0.0
chan_7,60,0.24675193876523327,0.0
chan_7,61,0.2776211098801493,0.0
chan_7,62,0.32596434686272513,0.0
chan_7,63,0.3337194077953467,0.0
chan_7,64,0.3228925370127902,0.0
chan_7,65,0.3588478195185809,0.0
chan_7,66,0.34993453519991924,0.0
chan_7,67,0.3425823345754857,0.0
chan_7,68,0.3554738644375064,0.0
chan_7,69,0.3595528250579112,0.0
chan_7,70,0.2879444052774698,0.0
chan_7,71,0.2969584046731799,0.0
chan_7,72,0.3017423708329132,0.0
chan_7,73,0.3064759794541243,0.0
chan_7,74,0.3192164367005743,0.0
chan_7,75,0.334726558565817,0.0
chan_7,76,0.30355524221976005,0.0
chan_7,77,0.3344244133346761,0.0
chan_7,78,0.36156712659885093,0.0
chan_7,79,0.3629267801389866,0.0
chan_7,80,0.3735018632289253,0.0
chan_7,81,0.3403162453419273,0.0
chan_7,82,0.32546077147748953,0.0
chan_7,83,0.3607614059824753,0.0
chan_7,84,0.3645382213717392,0.0
chan_7,85,0.37828582938865907,0.0
chan_7,86,0.40522711249874055,0.0
chan_7,87,0.3749622318461072,0.0
chan_7,88,0.35718602074730565,0.0
chan_7,89,0.3914795044818207,0.0
